stamp,x,y,z,method,accum,voxel_d,proc_ms
1739296970.524883,2.77279,2.37014,0.09373,p2p[d=0.03],1,0.030,26.15
1739296970.634671,2.84085,2.31656,0.11813,p2p[d=0.03],1,0.030,26.97
1739296970.753881,2.90470,2.27871,0.19658,p2p[d=0.03],1,0.030,25.76
1739296970.883192,2.93590,2.28363,0.30957,p2p[d=0.03],1,0.030,24.76
1739296971.018127,2.95456,2.33285,0.32369,p2p[d=0.03],1,0.030,25.28
1739296971.134093,2.93586,2.39214,0.24055,p2p[d=0.03],1,0.030,25.08
1739296971.256938,2.93188,2.45069,0.09934,p2p[d=0.03],1,0.030,23.38
1739296971.379953,2.91079,2.51536,-0.04732,p2p[d=0.03],1,0.030,27.14
1739296971.491930,2.91177,2.57260,-0.16663,p2p[d=0.03],1,0.030,25.46
1739296971.610656,2.89629,2.61197,-0.22162,p2p[d=0.03],1,0.030,24.92
1739296971.727373,2.87674,2.63340,-0.30503,p2p[d=0.03],1,0.030,25.66
1739296971.852506,2.88706,2.65262,-0.38160,p2p[d=0.03],1,0.030,24.48
1739296971.974986,2.87984,2.68463,-0.45501,p2p[d=0.03],1,0.030,26.37
1739296972.091406,2.84822,2.69724,-0.45329,p2p[d=0.03],1,0.030,31.26
1739296972.202632,2.85136,2.69825,-0.47541,p2p[d=0.03],1,0.030,25.84
1739296972.311722,2.84446,2.69626,-0.49987,p2p[d=0.03],1,0.030,38.51
1739296972.430924,2.85523,2.70719,-0.50441,p2p[d=0.03],1,0.030,40.47
1739296972.545178,2.83639,2.69911,-0.48737,p2p[d=0.03],1,0.030,43.28
1739296972.670646,2.85382,2.69631,-0.47598,p2p[d=0.03],1,0.030,26.74
1739296972.804020,2.85266,2.68853,-0.44085,p2p[d=0.03],1,0.030,25.36
1739296972.940414,2.84923,2.67285,-0.41575,p2p[d=0.03],1,0.030,31.69
1739296973.056163,2.84616,2.66705,-0.39397,p2p[d=0.03],1,0.030,34.94
1739296973.180580,2.83519,2.66346,-0.39403,p2p[d=0.03],1,0.030,31.50
1739296973.298946,2.85927,2.64555,-0.39602,p2p[d=0.03],1,0.030,47.26
1739296973.416967,2.86056,2.64859,-0.38120,p2p[d=0.03],1,0.030,34.78
1739296973.533089,2.86063,2.63914,-0.36804,p2p[d=0.03],1,0.030,39.59
1739296973.657220,2.86511,2.62655,-0.37102,p2p[d=0.03],1,0.030,30.13
1739296973.782740,2.85996,2.65223,-0.39562,p2p[d=0.03],1,0.030,35.37
1739296973.897597,2.86208,2.65462,-0.39744,p2p[d=0.03],1,0.030,28.24
1739296974.019257,2.87432,2.65630,-0.40284,p2p[d=0.03],1,0.030,33.57
1739296974.141843,2.87202,2.66035,-0.40474,p2p[d=0.03],1,0.030,29.82
1739296974.257858,2.88931,2.65191,-0.41731,p2p[d=0.03],1,0.030,34.90
1739296974.379818,2.89078,2.65528,-0.41302,p2p[d=0.03],1,0.030,49.74
1739296974.507837,2.89722,2.65624,-0.41830,p2p[d=0.03],1,0.030,30.94
1739296974.633244,2.88654,2.65335,-0.41612,p2p[d=0.03],1,0.030,31.52
1739296974.750249,2.88174,2.65924,-0.43322,p2p[d=0.03],1,0.030,29.34
1739296974.864261,2.86863,2.66011,-0.42827,p2p[d=0.03],1,0.030,30.71
1739296974.982827,2.86779,2.65146,-0.42070,p2p[d=0.03],1,0.030,28.35
1739296975.100488,2.86207,2.64759,-0.41177,p2p[d=0.03],1,0.030,28.96
1739296975.215112,2.86384,2.64395,-0.40890,p2p[d=0.03],1,0.030,28.35
1739296975.325912,2.86637,2.64971,-0.39737,p2p[d=0.03],1,0.030,28.23
1739296975.455395,2.87527,2.65138,-0.40441,p2p[d=0.03],1,0.030,30.78
1739296975.573699,2.87821,2.64045,-0.40213,p2p[d=0.03],1,0.030,31.02
